id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
29,2009,0.3727,21.5484,9.0000,15.0000,0.5763,0.1893,0.4422,0.8528,5.1863,8.6439,12.4175
29,2010,0.1768,22.7167,9.0000,15.0000,0.1410,0.2339,0.4597,1.0686,1.2693,2.1155,3.2038
29,2011,0.0078,37.4286,9.0000,14.0000,0.0784,0.2319,0.4798,1.1578,0.7054,1.0972,2.9334
29,2012,0.0984,43.7552,9.0000,14.0000,-0.0736,0.2575,0.4973,1.0533,-0.6621,-1.0300,-3.2191
29,2013,0.1002,50.0232,11.0000,13.0000,0.0694,0.2594,0.5144,1.1655,0.7636,0.9024,3.4723
29,2014,-0.0583,63.4889,10.0000,13.0000,-0.6139,0.2499,0.5296,1.0429,-6.1387,-7.9803,-38.9740
29,2015,-0.0398,84.6611,12.0000,13.0000,-0.3634,0.2509,0.5417,0.9361,-4.3605,-4.7239,-30.7637
29,2016,-0.0305,21.1389,9.0000,13.0000,0.3718,0.2606,0.5445,0.7743,3.3461,4.8332,7.8592
29,2017,0.0903,31.1505,10.0000,13.0000,0.1175,0.2606,0.5445,0.7743,1.1753,1.5280,3.6613
31,2008,-0.5222,0.6667,9.0000,3.0000,-0.7213,0.3648,0.4013,0.7628,-6.4920,-2.1640,-0.4809
31,2009,0.1574,1.0000,9.0000,2.0000,0.5763,0.2821,0.4082,0.6559,5.1863,1.1525,0.5763
31,2010,0.0589,0.0000,7.0000,1.0000,0.1410,0.2542,0.4122,0.7142,0.9872,0.1410,0.0000
31,2011,-0.1707,1.4500,6.0000,3.0000,0.0784,0.2424,0.4190,0.6770,0.4702,0.2351,0.1136
31,2012,0.0115,0.0000,7.0000,2.0000,-0.0736,0.2720,0.4182,0.6490,-0.5150,-0.1471,0.0000
31,2013,0.1709,0.0000,9.0000,1.0000,0.0694,0.2914,0.4184,0.6025,0.6247,0.0694,0.0000
31,2014,-0.0746,27.0000,8.0000,1.0000,-0.6139,0.2880,0.4247,0.6147,-4.9110,-0.6139,-16.5745
31,2015,-0.1598,0.0000,8.0000,1.0000,-0.3634,0.3382,0.4226,0.6269,-2.9070,-0.3634,0.0000
